tt_code,primary_cluster,primary_probability,secondary_cluster,secondary_probability,sub_cluster,rail_label,cluster_name,cluster_description,sub_cluster_name,umap_x,umap_y
tt0014586,21,0.46890669524371076,13,0.025468858808682222,-1,Dark Fantasy Atmosphere → (sub-outlier),Dark Fantasy Atmosphere,"These films combine fantastical elements with dark, foreboding atmospheres and a focus on mood.",(sub-outlier),8.475873,8.144642
tt0014646,7,1.0,13,7.160022815291112e-308,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.7221184,10.625201
tt0014770,0,0.36960854131604676,4,0.0020923952726181506,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.031697,10.033749
tt0015163,-1,0.0,23,0.05033523056126766,-1,Outlier,,,,11.096965,8.554275
tt0015167,15,0.6207211314343924,14,0.032239156016274674,-1,Whimsy with Dark Undertones → (sub-outlier),Whimsy with Dark Undertones,"Characterized by fantastical elements, dark humor, and heartwarming sentimentality.",(sub-outlier),9.215435,9.310213
tt0015175,14,1.0,15,1.7807787949499914e-307,-1,Medieval Quest Fantasies → (sub-outlier),Medieval Quest Fantasies,Characterized by heroic journeys and epic battles set in fantastical medieval realms.,(sub-outlier),8.43107,10.642532
tt0015324,-1,0.0,23,0.0430066311367722,-1,Outlier,,,,11.180647,8.586796
tt0015624,12,1.0,19,1.3033700169020174e-307,-1,War and Mourning Films → (sub-outlier),War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,(sub-outlier),9.850325,10.429198
tt0015864,-1,0.0,23,0.02090048920912159,-1,Outlier,,,,11.271783,8.581643
tt0016185,4,1.0,8,0.010014434447316966,-1,Beneath the Neon Veil → (sub-outlier),Beneath the Neon Veil,Unifying Asian-driven narratives with supernatural and martial arts elements.,(sub-outlier),12.462606,11.686736
tt0016361,27,0.8691476831767533,24,0.07790156096278934,-1,Romantic Drama Turmoil → (sub-outlier),Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",(sub-outlier),11.265004,8.538843
tt0016473,-1,0.0,29,0.032636666092562355,-1,Outlier,,,,10.664634,7.2557974
tt0016481,-1,0.0,24,0.057404609110536395,-1,Outlier,,,,11.218346,8.124824
tt0016629,33,0.6522356297308527,32,0.04469351620955291,-1,Thrillers of Deception → (sub-outlier),Thrillers of Deception,"These films expertly weave together mystery, suspense, and crime to create a complex web of deception.",(sub-outlier),9.725285,6.5253925
tt0016832,-1,0.0,27,0.05588771188996801,-1,Outlier,,,,11.574233,8.5443325
tt0017075,33,0.6517893901333144,32,0.04339373272875795,-1,Thrillers of Deception → (sub-outlier),Thrillers of Deception,"These films expertly weave together mystery, suspense, and crime to create a complex web of deception.",(sub-outlier),9.74357,6.402516
tt0017120,12,1.0,19,1.3241237493502138e-307,-1,War and Mourning Films → (sub-outlier),War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,(sub-outlier),9.899407,10.468426
tt0017132,24,1.0,23,3.762826617196042e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.675465,8.470277
tt0017136,7,1.0,13,0.016422483572036732,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.639807,10.398346
tt0017374,-1,0.0,27,0.03063569587501239,-1,Outlier,,,,11.165266,8.614755
tt0017567,0,0.933236970976175,4,0.0012026420788061425,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.054603,9.9971285
tt0017621,21,0.6819929094531892,13,0.029187194718014044,-1,Dark Fantasy Atmosphere → (sub-outlier),Dark Fantasy Atmosphere,"These films combine fantastical elements with dark, foreboding atmospheres and a focus on mood.",(sub-outlier),8.345811,8.252806
tt0017623,12,1.0,19,0.02325851427539751,-1,War and Mourning Films → (sub-outlier),War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,(sub-outlier),9.975486,10.611767
tt0017632,-1,0.0,25,0.02898632076091837,-1,Outlier,,,,10.378967,9.1858635
tt0017736,17,0.7974295139771032,16,0.13122129048296471,-1,The Shadowed Biographical Journey → (sub-outlier),The Shadowed Biographical Journey,"These films explore the complexities of human nature through deeply personal, psychologically nuanced biographical narratives.",(sub-outlier),8.175556,9.553799
tt0017825,22,0.7213744493003679,29,0.05823781583233953,-1,British Noir Comedies → (sub-outlier),British Noir Comedies, Films that blend dark humor and gritty crime with a British setting.,(sub-outlier),10.51231,6.848219
tt0017925,-1,0.0,23,0.018544441298019382,-1,Outlier,,,,11.504327,8.394514
tt0017938,25,1.0,24,2.1708919595012603e-307,-1,French Romantic Turmoil → (sub-outlier),French Romantic Turmoil,Exploring the complexities and passions of love in France.,(sub-outlier),10.586271,7.7770643
tt0017998,24,1.0,23,3.598118187956291e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.6825285,8.500365
tt0018051,11,1.0,8,0.039135363211653555,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.925971,11.529433
tt0018054,18,0.7339136942704011,19,0.06622203510352759,-1,Leaders and Aristocrats → (sub-outlier),Leaders and Aristocrats,Films about powerful leaders and their struggles with morality and class.,(sub-outlier),8.824407,9.865521
tt0018087,25,1.0,24,2.133930817808035e-307,-1,French Romantic Turmoil → (sub-outlier),French Romantic Turmoil,Exploring the complexities and passions of love in France.,(sub-outlier),10.602285,7.8138347
tt0018217,18,0.7076623868757711,18,0.11700663297268969,-1,Leaders and Aristocrats → (sub-outlier),Leaders and Aristocrats,Films about powerful leaders and their struggles with morality and class.,(sub-outlier),9.125334,10.483748
tt0018451,27,0.792906920433378,24,0.07784791781056309,-1,Romantic Drama Turmoil → (sub-outlier),Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",(sub-outlier),11.143623,8.632928
tt0018455,27,1.0,20,0.06051966052523749,-1,Romantic Drama Turmoil → (sub-outlier),Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",(sub-outlier),11.697795,8.730783
tt0018742,11,1.0,15,0.041106025398545076,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.98751,11.378934
tt0019195,-1,0.0,23,0.062232242027845996,-1,Outlier,,,,11.041958,8.41618
tt0019412,11,1.0,15,0.04063864092532044,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.936122,11.515594
tt0019563,-1,0.0,35,0.05689701146378995,-1,Outlier,,,,8.901379,6.320633
tt0019777,5,1.0,6,1.5480810132232806e-307,-1,Whimsical Romantic Musicals → (sub-outlier),Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",(sub-outlier),5.6446934,12.180284
tt0019889,23,0.9245750140842017,24,0.0808704432713657,-1,British Heroic Quests → (sub-outlier),British Heroic Quests,Films featuring heroic adventures set in the UK during wartime.,(sub-outlier),10.172827,7.668639
tt0019901,7,1.0,13,7.11288596974044e-308,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.746038,10.653703
tt0020230,18,0.8288411306435333,18,0.19207331141553097,-1,Leaders and Aristocrats → (sub-outlier),Leaders and Aristocrats,Films about powerful leaders and their struggles with morality and class.,(sub-outlier),9.140049,10.40214
tt0020269,-1,0.0,29,0.02136479220988675,-1,Outlier,,,,10.303376,7.482716
tt0020590,24,1.0,23,3.879499320291394e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.573113,8.469791
tt0020620,-1,0.0,19,0.04344736683727697,-1,Outlier,,,,9.125389,9.950601
tt0020629,12,0.8919178159814091,19,0.03463690293557261,-1,War and Mourning Films → (sub-outlier),War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,(sub-outlier),9.744653,10.591966
tt0020641,24,1.0,23,3.4799281930592205e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.617067,8.450361
tt0020668,-1,0.0,29,0.046762479647293353,-1,Outlier,,,,9.931708,7.4512277
tt0020691,0,1.0,4,1.0923415023461995e-308,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.037771,10.011048
tt0020842,5,1.0,6,1.494867435313524e-307,-1,Whimsical Romantic Musicals → (sub-outlier),Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",(sub-outlier),5.647474,12.218523
tt0020876,11,1.0,8,0.042309758351809675,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.544433,11.915471
tt0021016,5,0.4253889234707677,6,0.02223775710228686,-1,Whimsical Romantic Musicals → (sub-outlier),Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",(sub-outlier),5.7754846,12.326868
tt0021030,27,1.0,26,0.06537180169934483,-1,Romantic Drama Turmoil → (sub-outlier),Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",(sub-outlier),12.500748,9.088622
tt0021165,33,0.748270625154433,32,0.0514915604785464,-1,Thrillers of Deception → (sub-outlier),Thrillers of Deception,"These films expertly weave together mystery, suspense, and crime to create a complex web of deception.",(sub-outlier),9.750936,6.512091
tt0021192,-1,0.0,40,0.030468893082347147,-1,Outlier,,,,11.23668,6.634895
tt0021309,8,1.0,11,0.031640154614789674,-1,Whimsical Animated Adventures → (sub-outlier),Whimsical Animated Adventures,"These films unite with their charming protagonists, stunning visuals, and joyful emotional expression.",(sub-outlier),9.257413,13.183625
tt0021310,24,1.0,23,3.8684505888067856e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.592522,8.466601
tt0021505,-1,0.0,23,0.13559393834735875,-1,Outlier,,,,10.479182,8.167363
tt0021616,27,1.0,20,0.036667632534652106,-1,Romantic Drama Turmoil → (sub-outlier),Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",(sub-outlier),11.891536,8.811852
tt0021749,24,0.7825284836019953,23,0.03442102755134731,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.732967,8.420274
tt0021815,21,0.7660843020113577,13,0.028045926016697476,-1,Dark Fantasy Atmosphere → (sub-outlier),Dark Fantasy Atmosphere,"These films combine fantastical elements with dark, foreboding atmospheres and a focus on mood.",(sub-outlier),8.29891,8.595916
tt0021818,-1,0.0,30,0.028613272868066548,-1,Outlier,,,,11.326576,7.4243774
tt0021884,7,1.0,13,0.05841085452605984,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.8661056,9.023312
tt0021890,-1,0.0,24,0.08291397118980799,-1,Outlier,,,,10.383358,8.05885
tt0022034,5,1.0,6,1.4634426762112954e-307,-1,Whimsical Romantic Musicals → (sub-outlier),Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",(sub-outlier),5.682773,12.245341
tt0022100,33,0.5639825608575917,32,0.04355204899701846,-1,Thrillers of Deception → (sub-outlier),Thrillers of Deception,"These films expertly weave together mystery, suspense, and crime to create a complex web of deception.",(sub-outlier),9.655157,6.4764967
tt0022149,24,1.0,23,4.071322418910521e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.54869,8.39977
tt0022290,-1,0.0,24,0.07457397536686199,-1,Outlier,,,,10.213456,7.747068
tt0022578,24,1.0,23,3.810493092364932e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.584067,8.428403
tt0022615,23,1.0,24,4.9300636098392445e-307,-1,British Heroic Quests → (sub-outlier),British Heroic Quests,Films featuring heroic adventures set in the UK during wartime.,(sub-outlier),10.242569,8.409264
tt0022645,29,1.0,22,2.512953650979876e-307,-1,European Police Thrillers → (sub-outlier),European Police Thrillers,Characterized by intellectual complexity and suspenseful plot twists.,(sub-outlier),10.175965,7.0944295
tt0022689,-1,0.0,24,0.1017252737252893,-1,Outlier,,,,10.514759,8.583577
tt0022699,5,1.0,6,1.4770143647881805e-307,-1,Whimsical Romantic Musicals → (sub-outlier),Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",(sub-outlier),5.662747,12.228118
tt0022835,7,1.0,13,0.0601653403503551,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.848629,8.967574
tt0022867,24,1.0,23,3.823269457678265e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.650532,8.502224
tt0022879,12,0.9827301199609678,19,0.017034661965651534,0,War and Mourning Films → Healing Through Relationships,War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,Healing Through Relationships,9.804552,10.336161
tt0022913,-1,0.0,34,0.01882591116630045,-1,Outlier,,,,8.669248,7.8320465
tt0023194,7,1.0,13,0.0606413984563677,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.9514003,9.022796
tt0023284,29,0.706002634040089,22,0.03865601111298754,-1,European Police Thrillers → (sub-outlier),European Police Thrillers,Characterized by intellectual complexity and suspenseful plot twists.,(sub-outlier),9.997274,6.8637958
tt0023382,24,1.0,23,3.771890332870164e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.663808,8.481431
tt0023395,24,1.0,23,3.912918104159175e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.66763,8.450833
tt0023525,24,0.6056493217855091,23,0.06363853855230794,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.51305,8.320448
tt0023589,24,1.0,23,3.71250621565394e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.569016,8.439416
tt0023616,0,0.850667741956759,4,0.0012512491818349532,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.0121636,10.035638
tt0023622,-1,0.0,25,0.06544242952485395,-1,Outlier,,,,10.569697,8.09136
tt0023649,21,0.5503359600894164,34,0.02713367413101993,-1,Dark Fantasy Atmosphere → (sub-outlier),Dark Fantasy Atmosphere,"These films combine fantastical elements with dark, foreboding atmospheres and a focus on mood.",(sub-outlier),8.496102,8.16332
tt0023694,-1,0.0,21,0.03367714869825507,-1,Outlier,,,,8.458828,7.4813223
tt0023731,1,1.0,37,1.489893769951227e-308,-1,Noir Crime Thrillers → (sub-outlier),Noir Crime Thrillers,"Characterized by dark, suspenseful explorations of crime and betrayal in post-war America.",(sub-outlier),8.510126,-0.67373824
tt0023808,23,1.0,24,4.8444366780847716e-307,-1,British Heroic Quests → (sub-outlier),British Heroic Quests,Films featuring heroic adventures set in the UK during wartime.,(sub-outlier),10.228869,8.378274
tt0023902,12,1.0,19,1.3414139963794725e-307,-1,War and Mourning Films → (sub-outlier),War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,(sub-outlier),9.878055,10.539604
tt0023973,12,0.9881304335812529,19,0.017480163145602617,-1,War and Mourning Films → (sub-outlier),War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,(sub-outlier),9.782084,10.533454
tt0024044,24,0.5903535296820818,23,0.06766958216673621,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.336081,8.376048
tt0024055,34,0.7880747443297765,21,0.062362639246573905,-1,Psychological Horror Subgenre → (sub-outlier),Psychological Horror Subgenre,Character-driven horror films emphasizing psychological terror and unease.,(sub-outlier),8.454493,7.345612
tt0024083,5,0.9805820923084266,6,0.01836021071614446,-1,Whimsical Romantic Musicals → (sub-outlier),Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",(sub-outlier),5.6338983,12.192903
tt0024151,24,0.7828186089057061,23,0.054804130135421326,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.601899,8.380837
tt0024184,7,1.0,13,0.05947834170922474,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.864767,8.9800625
tt0024188,7,1.0,13,0.060631993939808,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),7.927782,9.014084
tt0024216,7,0.6056177707911455,13,0.050535145139505584,-1,Cosmic Science Odyssey Films → (sub-outlier),Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",(sub-outlier),8.398854,9.077684
tt0024262,24,0.9439972944725525,23,0.04562962477164164,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.677043,8.324416
tt0024264,11,1.0,8,8.065741330384506e-308,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.660443,11.524259
tt0024302,24,1.0,23,4.1249373825208725e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.5896845,8.479826
tt0024480,-1,0.0,25,0.058498927208218414,-1,Outlier,,,,10.544591,8.038988
tt0024500,0,0.5494302725252872,4,0.0022002958631115893,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.01931,10.013728
tt0024548,-1,0.0,19,0.06032246059303252,-1,Outlier,,,,8.69752,10.315491
tt0024645,23,1.0,24,5.04040175773674e-307,-1,British Heroic Quests → (sub-outlier),British Heroic Quests,Films featuring heroic adventures set in the UK during wartime.,(sub-outlier),10.23534,8.472042
tt0024647,0,0.615973417827302,4,0.0017077124650055674,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.0251923,9.997347
tt0024894,-1,0.0,21,0.021083051918360088,-1,Outlier,,,,8.708241,7.451356
tt0025028,5,0.3917360313616316,6,0.02856673842267327,-1,Whimsical Romantic Musicals → (sub-outlier),Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",(sub-outlier),5.4819455,11.804255
tt0025062,35,0.45362595441767345,32,0.04875684920689277,-1,Mood Horror Mysteries → (sub-outlier),Mood Horror Mysteries,These films combine eerie atmosphere and supernatural elements with a focus on mood and suspense.,(sub-outlier),8.373738,6.4702024
tt0025134,23,1.0,24,4.741750474234414e-307,-1,British Heroic Quests → (sub-outlier),British Heroic Quests,Films featuring heroic adventures set in the UK during wartime.,(sub-outlier),10.277582,8.436478
tt0025204,-1,0.0,33,0.06128781213100004,-1,Outlier,,,,9.778108,6.8801613
tt0025248,23,1.0,24,5.61329691073493e-307,-1,British Heroic Quests → (sub-outlier),British Heroic Quests,Films featuring heroic adventures set in the UK during wartime.,(sub-outlier),10.376105,8.545417
tt0025271,-1,0.0,29,0.06023192225381729,-1,Outlier,,,,9.74337,6.845338
tt0025316,24,1.0,23,3.604833055264448e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.753341,8.380726
tt0025335,27,0.7568649974301165,20,0.06396383455420813,-1,Romantic Drama Turmoil → (sub-outlier),Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",(sub-outlier),11.435995,9.542583
tt0025480,25,0.906489082549718,24,0.03582722560586291,-1,French Romantic Turmoil → (sub-outlier),French Romantic Turmoil,Exploring the complexities and passions of love in France.,(sub-outlier),10.45536,7.7277665
tt0025543,-1,0.0,33,0.03872957138455681,-1,Outlier,,,,9.789209,6.9637294
tt0025610,24,0.7926050141170146,23,0.04324435122566244,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.516317,8.479942
tt0025681,27,1.0,26,0.060683860074016896,-1,Romantic Drama Turmoil → (sub-outlier),Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",(sub-outlier),12.398511,9.032229
tt0025740,24,1.0,23,3.455042986763785e-307,-1,Mid-Century Romantic Melancholy → (sub-outlier),Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",(sub-outlier),10.611909,8.458988
tt0025896,-1,0.0,23,0.14350248464193116,-1,Outlier,,,,10.409966,8.192981
tt0025898,25,1.0,24,2.040199655642879e-307,-1,French Romantic Turmoil → (sub-outlier),French Romantic Turmoil,Exploring the complexities and passions of love in France.,(sub-outlier),10.627236,7.7794514
tt0025907,11,1.0,8,0.033305174071076964,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.417664,11.823646
tt0025919,-1,0.0,27,0.056830773594420195,-1,Outlier,,,,11.577814,8.513371
