imdb_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Rating_Internet_Movie_Database,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,_fetch_date,_poster_path,Rating_Rotten_Tomatoes,Rating_Metacritic
tt0027146,Two Sinners,1935,Passed,12 Sep 1935,72 min,Romance,Arthur Lubin,"Warwick Deeping, Jefferson Parker","Otto Kruger, Martha Sleeper, Minna Gombell","Henry Vane is released from prison after serving fifteen years for shooting the lover his wife took while he served in the army during World War I. Henry cannot adjust to modern London and the cold treatment he receives from his former friends, so he goes to France. While there he meets Sally, the bratty child of neglectful Claudine Pym, and Sally's governess, the shy but caring Elsie Summerstone. Henry is taken with Elsie, and to spend more time with her, he becomes friends with Sally, whose mother treats Elsie shabbily. One night, when Claudine goes to Monte Carlo with her rich, pompous boyfriend, Monte Alabaster, Sally leads Elsie on a chase through the hotel corridors and falls down the stairs. Henry helps Elsie take care of the child, who suffers a fractured arm, but when he finally succeeds in reaching Claudine, she says she will not return until the following morning. When Claudine returns, she yells at Elsie for allowing Sally to come to harm. Sally rises to Elsie's defense, and Claudine strikes her injured daughter. Claudine then fires Elsie, but when Elsie asks for the two months back wages owed to her so that she can return to England, Claudine cannot pay her and so rehires her. After Sally's recovery, Henry and Elsie watch her play, and Henry tells Elsie the story of his crime and punishment. Although she is usually compassionate, Elsie is horrified and runs off. Henry is disappointed, for he had hoped to marry Elsie, and he leaves the hotel. Elsie realizes her mistake and goes to apologize, but it is too late. After discovering that Henry is gone, Elsie also finds out that her mother is dangerously ill. Claudine gives Elsie a check for her wages, but the English consul cannot cash it. Elsie returns to the hotel and in desperation takes some money from Claudine's purse, which is not as empty as Claudine had claimed. Claudine sees Elsie take the money, and after they quarrel, Elsie throws Claudine to the ground. Claudine has Elsie arrested for robbery and attempted murder, and despite the obvious injustices committed against Elsie, she is convicted and sentenced to the Maison Masque, a prison where the inmates must where masks. During the trial, Sally locates Henry, and although he appeals to Humphrey Grylls, the British consul, nothing can be done. Henry visits Elsie, telling her that she is not alone, and that they have a bright future together. Outside the courthouse, Henry finds Sally, who has run away to visit Elsie. Not far behind her is Claudine, who arrogantly ignores the traffic and is run over and killed. Eventually, after many appeals, Grylls succeeds in obtaining Elsie's release. Henry gets Elsie from the prison and takes her to the beautiful home he and Sally, who is now his adopted daughter, have prepared for her.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDIwMGZkZmEtYjI1Yy00YzUxLTk3NGItY2ZkYmJhNTFmYjNhXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,7.9/10,N/A,7.9,30,tt0027146,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:18.478716,,,
tt0344568,Wo men hai pa,2002,N/A,14 Feb 2002,87 min,"Drama, Romance",Andrew Y-S Cheng,Mian Mian,"Zhinan Li, Mian Mian, Yuting Yang","Growing up in the shadows of Shanghai, Bei (Li Zhinan), a disillusioned dancer, spends most of his time in a drug-induced haze. But when he begins developing AIDS-like symptoms and fears he could be seriously ill, he turns to his three best friends to help him forget. Complications ensue when Bei and another friend, Jie (Zhou Zijie), begin to feel more than mutual camaraderie, which throws their sexuality into serious question.","Mandarin, Cantonese",China,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjEzNDkwODM5MF5BMl5BanBnXkFtZTgwNjU2MDA1ODE@._V1_SX300.jpg,4.8/10,N/A,4.8,128,tt0344568,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:19.760456,extra_data/posters/tt0344568.jpg,,
tt0029272,Nobody's Wife,1937,N/A,06 Feb 1938,82 min,"Drama, Romance",Adela Sequeyro,Adela Sequeyro,"Adela Sequeyro, Mario Tenorio, José Eduardo Pérez",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BN2U1MjAzNDMtODViMS00Zjc4LTg4MWUtZjQ2MDZiMGNkYThlXkEyXkFqcGdeQXVyMDM0NzcxMQ@@._V1_SX300.jpg,6.4/10,N/A,6.4,22,tt0029272,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:21.036893,,,
tt0127163,Prisoners in Petticoats,1950,Passed,18 Sep 1950,60 min,"Action, Crime, Drama",Philip Ford,"Bradbury Foote, Raymond L. Schrock, George Callahan","Valentine Perkins, Robert Rockwell, Danni Sue Nolan","Joan Grey is a young pianist that falls for the good manners and nice clothes of a gang of mobsters. She is warned by Mark Hampton, an investigator, that she is associating with gangsters and she is heading for trouble. She refuses to believe him and becomes innocently involved in some robberies and killings.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzE2OTllOTUtYzBjOC00ZWVlLTg0OGUtYzU3MTA3ZTk2YTQ4XkEyXkFqcGdeQXVyNzEzMDAyNTI@._V1_SX300.jpg,4.8/10,N/A,4.8,30,tt0127163,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:22.322077,,,
tt0128542,Sluchaynyy vals,1990,N/A,01 Sep 1990,91 min,Romance,Svetlana Proskurina,Pavel Finn,"Alla Sokolova, Aleksey Serebryakov, Tatyana Bondaryova","Tatyana Prokofievna is an ageing woman with the aspirations and manners of a diva, but her life is uneventful, ordinary and dull. In an attempt to escape solitude and defy old age she seeks romantic friendship of her young male protégés.",Russian,Soviet Union,1 win,https://m.media-amazon.com/images/M/MV5BMjMxZTVlN2UtOTc3Zi00NmQzLTgzMmItMDQ1MWVmNTMzYzM4XkEyXkFqcGdeQXVyMTEwNTQxMjQ@._V1_SX300.jpg,5.8/10,N/A,5.8,49,tt0128542,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:23.931207,extra_data/posters/tt0128542.jpg,,
tt14214828,Out with the Old,2023,N/A,01 May 2021,N/A,"Comedy, Romance",Bree Kelly,Bree Kelly,"Nate Anderson, Ebonie Barton, Aleasha Burgess","Recent college graduate, Grace Jones, has just been laid off from her law firm and is forced to work at a demeaning soul food restaurant. Grace has just about had it with her lazy, long-term boyfriend, and she is ready for somethi...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmVhYmU1NWUtNGU4Yi00NWU1LWJmMWQtMjgxNjMyMmU2OWZiXkEyXkFqcGdeQXVyMTMwMjY2MjM5._V1_SX300.jpg,,N/A,N/A,N/A,tt14214828,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:25.502664,,,
tt3212776,The Seventh Heaven,2007,N/A,27 Nov 2007,N/A,"Drama, Romance",Saad Hendawy,Zeinab Aziz,"Hasan Abdulfattah, Hebah Abdulghani, Farooq Agha",The story of a Tannoura dancer trying to formulate his relationship with his son and a prostitute,Arabic,Egypt,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNDhhYmYwZWMtY2QzZi00NzJlLTlkNGMtNTQwZWRhNjgxOWIzXkEyXkFqcGdeQXVyMTU0NTQyMjk@._V1_SX300.jpg,4.5/10,N/A,4.5,91,tt3212776,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:26.793196,,,
tt6112836,Have You Seen My Movie?,2016,N/A,23 Sep 2018,136 min,"Adventure, Comedy, Romance",Paul Anton Smith,N/A,N/A,"A massive montage of movie characters going to the movies. Clips from 100+ films are cut together to create a new cinema-going experience. Romance, musical, action, horror, noir, comedy - and countless characters watch in the dark with you.","English, French","United Kingdom, Canada",N/A,https://m.media-amazon.com/images/M/MV5BNjEyYmQ1OGQtODcxNC00OTJjLThkYmMtMGViOWU0MmM2YjMzXkEyXkFqcGc@._V1_SX300.jpg,7.1/10,N/A,7.1,86,tt6112836,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:28.071747,extra_data/posters/tt6112836.jpg,,
tt0027764,The House of a Thousand Candles,1936,Approved,03 Apr 1936,71 min,"Action, Romance",Arthur Lubin,"H.W. Hanemann, Endre Bohem, Ralph Gilbert Bettison","Phillips Holmes, Mae Clarke, Irving Pichel",An English diplomat's (Phillips Holmes) girlfriend (Mae Clarke) tags along as he takes a coded message to Geneva.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmYxYjYzYjUtMDU3Zi00ZDMzLTlkZmItYmFiMDYxZDIwNjVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,5.3/10,N/A,5.3,48,tt0027764,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:29.377488,,,
tt0119331,Hunger: Longing for Love,1997,N/A,04 Sep 1997,97 min,"Romance, Drama",Dana Vávrová,"Dana Vávrová, Uli Buchner","Catherine Flemming, Kai Wiesinger, Christiane Hörbiger","Laura suffers from the eating disorder bulimia. The reason for this is her unhappy childhood and youth and the unstable relationship with her mother. When she falls in love with the graffiti artist Simon, she hides her OCD (Obsess...",German,Germany,2 wins,https://m.media-amazon.com/images/M/MV5BMTkwNDIxNDEyMF5BMl5BanBnXkFtZTcwODMyNTUxMQ@@._V1_SX300.jpg,5.8/10,N/A,5.8,76,tt0119331,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:30.781453,extra_data/posters/tt0119331.jpg,,
tt22742012,Love Solutions,2024,N/A,10 May 2024,N/A,"Drama, Romance",Carl Jackson,Carl Jackson,"Jarrod Destiche, Aaron Feder, Meagan McKenna",A woman searching for love examines the rise and fall of her relationship with her ex-husband. From director Carl Jackson comes a story about the obstacles of modern romance.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTI4YTJhZDQtNzBlYy00NGQ3LTg2YjItMjU5MDY4ZGFmM2JjXkEyXkFqcGc@._V1_SX300.jpg,,N/A,N/A,N/A,tt22742012,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:32.666440,extra_data/posters/tt22742012.jpg,,
tt0166230,Jocelyn,1922,N/A,03 Nov 1922,N/A,"Drama, Romance",Léon Poirier,"Léon Poirier, Alphonse de Lamartine","Roger Karl, Jeanne Marie-Laurent, Suzanne Bianchetti","Adaptation of a romantic Lamartine poem.A youth leaves a monastery where he has stayed, after the anti-religious terror of the Revolution.He befriends a youth who turns out to be a girl.But his former bishop calls Jocelyn back to duty.","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BNmM2YTg3OTQtOGRlYi00MTZmLWJlNTgtMGNjODljZDExYjU0XkEyXkFqcGc@._V1_SX300.jpg,6.5/10,N/A,6.5,15,tt0166230,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:34.121056,extra_data/posters/tt0166230.jpg,,
tt2977364,Kyz-Zhibek,1972,N/A,18 Aug 1972,143 min,"Drama, History, Romance",Sultan Khodzhikov,Gabit Musrepov,"Meruert Utekesheva, Kuman Tastanbekov, Asanali Ashimov",Kyz-Zhibek decides to commit suicide after she hears that her lover has been killed in a duel.,Kazakh,Soviet Union,N/A,https://m.media-amazon.com/images/M/MV5BMjllMzNmMDItNmVmYi00YzM4LTk2ZDktMGQyZTM0YTdjMTY3XkEyXkFqcGdeQXVyNjE3NDE3NDU@._V1_SX300.jpg,8.0/10,N/A,8.0,22,tt2977364,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:35.465837,extra_data/posters/tt2977364.jpg,,
tt0038801,One Exciting Week,1946,Approved,08 Jun 1946,69 min,"Comedy, Crime, Romance",William Beaudine,"Dennis Murray, Jack Townley, John K. Butler","Al Pearce, Pinky Lee, Jerome Cowan","A returning WWII hero is on his way to his home town where he is to receive a medal and $10,000. Before arriving he is stricken with amnesia and falls in with a gang of crooks. They do not realize he is the actual Dan Flannery, and set him up to impersonate himself and get the money. Since he also doesn't know he is himself, he goes for it.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTE0OTcwMjQtNDJiYy00NzNiLWIwOTQtYTFiY2M0MGZhNTg5XkEyXkFqcGdeQXVyMzM5NzIwNjM@._V1_SX300.jpg,6.7/10,N/A,6.7,12,tt0038801,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:36.781605,,,
tt4111044,Show Business,2016,N/A,23 Apr 2016,85 min,"Comedy, Drama, Romance",Alexander Tovar,Alexander Tovar,"Alexander Tovar, Amelia Meyers, Jillian Johnston",Therapy won't even scratch the surface for him.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTUxNzc0NDM2OV5BMl5BanBnXkFtZTgwMzg1NzA0NDE@._V1_SX300.jpg,6.6/10,N/A,6.6,29,tt4111044,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:38.082516,extra_data/posters/tt4111044.jpg,,
tt0106742,Dollar Mambo,1993,N/A,18 Oct 1995,77 min,"Drama, Music, Romance",Paul Leduc,"Jaime Avilés, José Joaquín Blanco, Paul Leduc","Dolores Pedro, Roberto Sosa, Raúl Medina","During the American invasion of Panama to oust General Noriega, a mambo dancer is raped by American soldiers. Based on a true incident. There is effectively no dialog in this film: Everything is communicated through dance or pantomime.","Spanish, English","Mexico, Spain, United Kingdom, France, Venezuela, Switzerland, Cuba, Panama",N/A,https://m.media-amazon.com/images/M/MV5BMTMxNzZkMDEtNmUxZS00YjRjLThhYWItN2ZlZmQ2NzNkNTg5XkEyXkFqcGdeQXVyMTMxNTEzOQ@@._V1_SX300.jpg,6.7/10,N/A,6.7,43,tt0106742,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:39.447579,extra_data/posters/tt0106742.jpg,,
tt0039894,That's My Gal,1947,Approved,15 May 1947,66 min,"Action, Comedy, Music",George Blair,"Frances Hyland, Bernard Feins, Joseph Hoffman","Lynne Roberts, Don 'Red' Barry, Pinky Lee","Two sharpie promoters (Don Barry and Frank Jenks) put on a show they believe is so bad it will not play more than one day and they therefore will not have to pay the long list of investors,i.e, suckers and buyers. But one of the investors dies intestate and his interests pass to the state. The governor's secretary (Lynne Roberts) engages new talent (the Four Step Brothers, Guadalajara Trio, St. Clair & Vilvoa, Dolores and Don Graham, et al) and a new orchestra (Jan Savitt), in order to make the show successful and a profitable investment for the state. Barry (in another of the vast majority of his films in which he was not billed as Don ""Red"" Barry), who has fallen in love with the first-billed Roberts, reforms and buys up the surplus stock.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTBjNjVmZjktNGQwNS00NDAwLTllYmUtZWNiOThkMDEwYWQ1XkEyXkFqcGdeQXVyMzAwOTU1MTk@._V1_SX300.jpg,,N/A,N/A,11,tt0039894,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:40.750092,,,
tt0325758,Love = (Me)^3,2000,Not Rated,05 Jun 2000,88 min,Romance,Agustin,Agustin,"Agustin, Evly G. Pacheco, Angélica Ordoñez",Tony is a young Latino who goes against the social norm by having an unconventional menage-a-trois relationship with Kelly and her lesbian girlfriend Monica which baffles and exacerbates their family and friends.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTI5NTE5ODk2OF5BMl5BanBnXkFtZTcwMDMwNzQzMQ@@._V1_SX300.jpg,6.2/10,N/A,6.2,38,tt0325758,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:42.078589,extra_data/posters/tt0325758.jpg,,
tt2645472,The Flame of Devotion,1964,N/A,22 Nov 1964,121 min,"Drama, Romance",Koreyoshi Kurahara,"Shôko Kamo, Nobuo Yamada","Ruriko Asaoka, Izumi Ashikawa, Jûzô Itami","The tragic tale of Kiyono, a young woman from the mountain who fell in love with Takuji, a fisherman's son, and her devotion to him during a time of war.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZWE3YTcwZmUtNGM4Yy00YTVlLWE3YmMtNjFkNGQyMWVmY2I1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzkyODI0MzY@._V1_SX300.jpg,7.0/10,N/A,7.0,80,tt2645472,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:43.395964,extra_data/posters/tt2645472.jpg,,
tt0188858,Los de la mesa 10,1960,N/A,N/A,N/A,"Drama, Romance",Simón Feldman,"Osvaldo Dragún, Simón Feldman","María Aurelia Bisutti, Emilio Alfaro, Carlos Boris",The film refers to the romance between a young mechanic of humble working background and a university student from a well-to-do family of professionals who face the difficulties originated in their different social origins.,Spanish,Argentina,N/A,https://m.media-amazon.com/images/M/MV5BN2EzMTI5MjUtZDg4YS00YjU3LWI5ZGUtZjU2MzNkM2VlYmIzXkEyXkFqcGc@._V1_SX300.jpg,7.3/10,N/A,7.3,34,tt0188858,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:44.944792,extra_data/posters/tt0188858.jpg,,
tt2112981,Julien & Claire,2011,Not Rated,N/A,80 min,"Drama, Music, Romance",Adam Neustadter,Adam Neustadter,"Romain Bechetoille, Nicole Bernard II, Olivier Bernard","Julien &amp; Claire tells the story of a disillusioned French musician and a struggling American dancer who are living in Paris, each on the verge of abandoning their dreams. Both have been presented with opportunities that would provide financial stability, but would extinguish their artistic aspirations for good. When these lonely characters cross paths on the streets of Paris, they spend one exciting night together before impulsively escaping to the Normandy countryside. While away from the pressures of city life, the brief romance makes them reconsider their respective decisions that will define who they are and what they will become.",English,"United States, France",N/A,https://m.media-amazon.com/images/M/MV5BNDQwMTA5ODc4OF5BMl5BanBnXkFtZTcwNjA0NjAyOQ@@._V1_SX300.jpg,7.4/10,N/A,7.4,88,tt2112981,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:46.328063,extra_data/posters/tt2112981.jpg,,
tt3691942,Dracula's Angel,2014,Not Rated,10 Oct 2014,87 min,"Animation, Horror, Romance",Bryan Beasley,"Bryan Beasley, Carol Carson","Bryan Beasley, Carol Carson",Laura Randolph is on a quest to find her true love: Dracula.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAzMzI2MjY4NV5BMl5BanBnXkFtZTgwNDA3MTI4MTE@._V1_SX300.jpg,5.7/10,N/A,5.7,27,tt3691942,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:49.445872,extra_data/posters/tt3691942.jpg,,
