cluster_id,name,description,movie_count,avg_confidence,n_sub_rails,top_features,unique_differentiators
38,High-Stakes Espionage Thrillers,"Characterized by intricate plots, high-octane action sequences, and morally complex protagonists.",161,0.859,0,"Feature 0308 (+0.79), Feature 0046 (+0.67), genre_Action (+0.53), genre_Thriller (+0.48), Feature 0178 (+0.38)","Feature 0211 (+0.27), Feature 0127 (+0.26), Feature 1034 (+0.23), Feature 0232 (+0.21), Feature 0337 (+0.20)"
15,Whimsy with Dark Undertones,"Characterized by fantastical elements, dark humor, and heartwarming sentimentality.",152,0.784,0,"genre_Fantasy (+0.90), genre_Comedy (+0.49), Feature 0518 (+0.26), Feature 0099 (+0.25), Feature 0183 (+0.25)","Feature 0341 (+0.14), Feature 0092 (+0.14), Feature 0004 (+0.12), Feature 0477 (+0.11), Feature 0521 (+0.11)"
28,LA Noir Thrillers,Character-driven crime thrillers set in Los Angeles and California,152,0.749,0,"Feature 0434 (+0.85), Feature 0462 (+0.72), Feature 1058 (+0.48), genre_Crime (+0.43), Feature 1012 (+0.34)","Feature 0493 (+0.20), Feature 0411 (+0.10), Feature 0337 (+0.08)"
3,Underdog Sports Inspirations,Films about overcoming adversity through sports and friendship.,150,0.697,0,"genre_Sport (+0.98), Feature 0111 (+0.85), Feature 1077 (+0.24), Feature 1055 (+0.22), Feature 0425 (+0.22)","Feature 0220 (+0.13), Feature 0477 (+0.13), Feature 0243 (+0.12), Feature 0521 (+0.11), Feature 0017 (+0.11)"
6,Hopeful Harmonies and Heartstrings,"These films celebrate the power of music, art, and emotional expression to uplift and inspire.",127,0.785,0,"genre_Music (+0.94), Feature 0352 (+0.47), Feature 0196 (+0.44), Feature 0043 (+0.35), Feature 0427 (+0.34)","Feature 0521 (+0.09), Feature 0477 (+0.09), Feature 0175 (+0.09), Feature 0142 (+0.07), Feature 1032 (+0.07)"
5,Whimsical Romantic Musicals,"Characterized by their enchanting blend of music, romance, and visual beauty.",127,0.685,0,"genre_Musical (+0.97), Feature 0196 (+0.61), Feature 0378 (+0.57), Feature 0449 (+0.56), Feature 0352 (+0.51)","Feature 0175 (+0.25), Feature 0142 (+0.21), Feature 0320 (+0.18), Feature 0477 (+0.18), Feature 0521 (+0.18)"
33,Thrillers of Deception,"These films expertly weave together mystery, suspense, and crime to create a complex web of deception.",125,0.821,0,"genre_Mystery (+0.89), genre_Crime (+0.60), Feature 0053 (+0.48), Feature 1012 (+0.47), Feature 0457 (+0.46)","Feature 0337 (+0.32), Feature 0133 (+0.27), Feature 1091 (+0.26), Feature 0318 (+0.25), Feature 0029 (+0.24)"
30,Darkly Comedic Crime Thrillers,These films combine dark humor with crime and adventure elements.,123,0.754,0,"genre_Crime (+0.72), genre_Comedy (+0.72), Feature 0183 (+0.46), Feature 0154 (+0.35), Feature 0187 (+0.33)","Feature 0004 (+0.19), Feature 0341 (+0.15), Feature 0201 (+0.10), Feature 0475 (+0.09), Feature 0243 (+0.08)"
20,Coming-of-Age Neighborhood Tales,These films explore the bonds and formative experiences of young friends growing up in close-knit neighborhoods.,116,0.699,0,"Feature 0304 (+0.70), Feature 0052 (+0.59), Feature 0122 (+0.56), genre_Romance (+0.49), Feature 1007 (+0.40)","Feature 0017 (+0.24), Feature 0069 (+0.20), Feature 0519 (+0.18), Feature 0180 (+0.16), Feature 0131 (+0.14)"
42,High-Octane Thrill Ride,These films combine intense action and suspense with a focus on daring heroics.,114,0.921,0,"genre_Thriller (+0.72), genre_Action (+0.71), Feature 1050 (+0.38), Feature 0190 (+0.28), Feature 0431 (+0.28)","Feature 0232 (+0.24), Feature 0242 (+0.23), Feature 0127 (+0.22), Feature 0250 (+0.14), Feature 0491 (+0.14)"
14,Medieval Quest Fantasies,Characterized by heroic journeys and epic battles set in fantastical medieval realms.,111,0.77,0,"genre_Fantasy (+0.73), Feature 0182 (+0.63), Feature 0099 (+0.62), genre_Adventure (+0.61), Feature 0062 (+0.58)","Feature 0162 (+0.31), Feature 0400 (+0.31), Feature 0454 (+0.27), Feature 1061 (+0.25), Feature 0359 (+0.23)"
18,Leaders and Aristocrats,Films about powerful leaders and their struggles with morality and class.,106,0.925,0,"genre_History (+0.86), Feature 0288 (+0.63), Feature 1028 (+0.61), genre_Biography (+0.60), Feature 1046 (+0.56)","Feature 1061 (+0.31), Feature 0454 (+0.26), Feature 0084 (+0.25), Feature 0359 (+0.22), Feature 1076 (+0.22)"
39,Psychological Crime Thrillers,Unifying these films is their exploration of the darker aspects of human psychology and crime.,105,0.763,0,"genre_Thriller (+0.79), Feature 0457 (+0.45), Feature 0153 (+0.31), Feature 1012 (+0.24), Feature 0335 (+0.21)","Feature 0257 (+0.13), Feature 0255 (+0.13), Feature 0305 (+0.06), Feature 0163 (+0.06), Feature 0191 (+0.04)"
21,Dark Fantasy Atmosphere,"These films combine fantastical elements with dark, foreboding atmospheres and a focus on mood.",94,0.744,0,"genre_Fantasy (+0.90), genre_Horror (+0.81), Feature 0068 (+0.56), Feature 0145 (+0.48), Feature 0099 (+0.46)","Feature 0163 (+0.20), Feature 0021 (+0.19), Feature 0305 (+0.13), Feature 0191 (+0.12), Feature 0491 (+0.11)"
0,American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",85,0.788,0,"genre_Western (+0.98), Feature 0404 (+0.34), Feature 1050 (+0.31), Feature 0137 (+0.26), Feature 1058 (+0.24)","Feature 1061 (+0.05), Feature 0400 (+0.04), Feature 0320 (+0.03), Feature 0398 (+0.03), Feature 0162 (+0.02)"
26,Romantic NYC Comedies,Films that explore blossoming relationships and life changes set against the backdrop of New York City.,85,0.817,0,"Feature 0233 (+0.82), genre_Romance (+0.74), genre_Comedy (+0.55), Feature 0440 (+0.53), Feature 1058 (+0.43)","Feature 0243 (+0.14), Feature 0004 (+0.14), Feature 0521 (+0.13), Feature 0398 (+0.11), Feature 0279 (+0.10)"
25,French Romantic Turmoil,Exploring the complexities and passions of love in France.,85,0.822,0,"Feature 0206 (+0.83), genre_Romance (+0.77), Feature 1031 (+0.64), Feature 1006 (+0.37), genre_Drama (+0.26)","Feature 1003 (+0.17), Feature 0374 (+0.16), Feature 1032 (+0.16), Feature 0320 (+0.15), Feature 0419 (+0.14)"
36,Gritty Urban Psychological Thrillers,"These films explore the darker aspects of human nature through flawed, emotionally withdrawn protagonists navigating crime-ridden urban landscapes.",74,0.822,0,"Feature 0233 (+0.87), Feature 0440 (+0.67), genre_Crime (+0.64), Feature 1058 (+0.42), Feature 1012 (+0.40)","Feature 1020 (+0.25), Feature 1011 (+0.21), Feature 0163 (+0.20), Feature 0084 (+0.17), Feature 0293 (+0.16)"
31,Quirky Action Comedies,Character-driven comedies with adventurous plots and offbeat humor.,72,0.873,0,"genre_Comedy (+0.72), Feature 1033 (+0.60), Feature 0183 (+0.58), genre_Adventure (+0.57), genre_Action (+0.48)","Feature 0162 (+0.20), Feature 0004 (+0.12), Feature 0341 (+0.12), Feature 0142 (+0.12), Feature 0026 (+0.12)"
19,Wartime Humanism,Films exploring the human condition amidst war and conflict.,70,0.93,0,"genre_History (+0.95), Feature 1028 (+0.57), genre_Drama (+0.39), Feature 0089 (+0.31), Feature 0083 (+0.29)","Feature 1076 (+0.21), Feature 0084 (+0.16), Feature 0191 (+0.15), Feature 1008 (+0.15), Feature 0163 (+0.13)"
1,Noir Crime Thrillers,"Characterized by dark, suspenseful explorations of crime and betrayal in post-war America.",68,0.924,0,"genre_Film-Noir (+0.98), Feature 1056 (+0.81), genre_Crime (+0.51), Feature 0457 (+0.37), Feature 1012 (+0.37)","Feature 0163 (+0.27), Feature 0493 (+0.20), Feature 0211 (+0.18), Feature 0419 (+0.18), Feature 0337 (+0.17)"
29,European Police Thrillers,Characterized by intellectual complexity and suspenseful plot twists.,61,0.879,0,"Feature 0206 (+0.89), Feature 1031 (+0.65), genre_Crime (+0.52), Feature 0457 (+0.35), Feature 1012 (+0.31)","Feature 0493 (+0.17), Feature 1086 (+0.15), Feature 0337 (+0.13), Feature 0156 (+0.12), Feature 1091 (+0.12)"
22,British Noir Comedies, Films that blend dark humor and gritty crime with a British setting.,60,0.892,0,"Feature 0483 (+0.76), genre_Crime (+0.60), Feature 1012 (+0.15), genre_Comedy (+0.14), Feature 1058 (+0.11)","Feature 0360 (+0.05), Feature 0004 (+0.04), Feature 0211 (+0.04), Feature 0438 (+0.03), Feature 0419 (+0.03)"
10,Medieval Epic Quests,"Films featuring heroic protagonists, medieval settings, and action-packed adventures.",60,0.87,0,"Feature 0137 (+0.80), genre_Adventure (+0.66), genre_Action (+0.43), Feature 0273 (+0.28), Feature 0083 (+0.28)","Feature 1061 (+0.22), Feature 0360 (+0.21), Feature 0320 (+0.19), Feature 0351 (+0.18), Feature 0127 (+0.18)"
40,Exploring Moral Turmoil,These films delve into the complexities of human morality and its consequences.,58,0.96,0,"genre_Thriller (+0.79), genre_Crime (+0.58), Feature 1012 (+0.38), Feature 0457 (+0.24), Feature 0118 (+0.23)","Feature 0084 (+0.17), Feature 0163 (+0.17), Feature 0191 (+0.16), Feature 0507 (+0.15), Feature 0115 (+0.13)"
32,Psychological Thriller Noir Cluster,"Characterized by dark, suspenseful explorations of the human psyche.",52,0.953,0,"genre_Mystery (+0.90), genre_Thriller (+0.58), Feature 0457 (+0.55), Feature 1067 (+0.43), Feature 0262 (+0.39)","Feature 0293 (+0.29), Feature 0163 (+0.28), Feature 0257 (+0.27), Feature 0305 (+0.27), Feature 1091 (+0.24)"
24,Mid-Century Romantic Melancholy,"Characterized by poignant, hopeful narratives of love and social class in black-and-white.",52,0.882,0,"Feature 0087 (+0.88), genre_Romance (+0.81), Feature 1056 (+0.60), Feature 1006 (+0.37), Feature 0355 (+0.33)","Feature 1032 (+0.11), Feature 0115 (+0.11), Feature 0374 (+0.10), Feature 0521 (+0.09), Feature 0149 (+0.09)"
41,Gritty Crime Thrillers,Character-driven thrillers exploring the darker side of human nature.,49,0.994,0,"genre_Action (+0.71), genre_Crime (+0.61), Feature 1012 (+0.52), Feature 0077 (+0.47), Feature 0488 (+0.46)","Feature 0493 (+0.31), Feature 1020 (+0.26), Feature 1011 (+0.25), Feature 0163 (+0.24), Feature 1081 (+0.21)"
23,British Heroic Quests,Films featuring heroic adventures set in the UK during wartime.,44,0.974,0,"Feature 0087 (+0.86), genre_Adventure (+0.59), Feature 1056 (+0.36), genre_Action (+0.25), Feature 0028 (+0.21)","Feature 0360 (+0.06), Feature 0400 (+0.05), Feature 0242 (+0.04), Feature 1061 (+0.03), Feature 0467 (+0.03)"
16,The Turbulent Artisan's Journey,"These films explore the complex, often tumultuous lives of artists and creatives.",36,0.967,0,"genre_Biography (+0.91), Feature 1046 (+0.80), Feature 0152 (+0.74), Feature 0352 (+0.72), Feature 0427 (+0.68)","Feature 1032 (+0.19), Feature 0293 (+0.16), Feature 1003 (+0.13), Feature 0017 (+0.12), Feature 0477 (+0.12)"
13,Prison of Fear," Films that immerse viewers in claustrophobic, suspenseful environments.",34,0.979,0,"Feature 0134 (+0.87), Feature 0367 (+0.64), genre_Horror (+0.57), genre_Adventure (+0.53), Feature 0416 (+0.46)","Feature 0491 (+0.24), Feature 0338 (+0.21), Feature 0257 (+0.17), Feature 0255 (+0.15), Feature 0305 (+0.15)"
37,Southern Family Dramas,Films exploring family struggles and moral conflicts set in the American South.,34,0.994,0,"Feature 0001 (+0.88), genre_Thriller (+0.46), Feature 1058 (+0.46), Feature 0234 (+0.30), Feature 0086 (+0.25)","Feature 0006 (+0.15), Feature 0163 (+0.15), Feature 1041 (+0.13), Feature 0507 (+0.13), Feature 0266 (+0.12)"
9,The Tragic Artisan's Journey,"These films explore the struggles and triumphs of creative geniuses through poignant, often tragic narratives.",34,0.959,0,"genre_Music (+0.95), genre_Biography (+0.91), Feature 1046 (+0.90), Feature 0152 (+0.90), Feature 0352 (+0.90)","Feature 1032 (+0.28), Feature 0293 (+0.26), Feature 0292 (+0.24), Feature 0371 (+0.19), Feature 1020 (+0.18)"
