Category,Subcategory,Feature,Feature ID,Feature Type
Category 08,Subcategory 08.2,Feature 1033,1033,Hybrid
Category 08,Subcategory 08.2,Feature 0408,408,Hybrid
Category 08,Subcategory 08.2,Feature 0140,140,Hybrid
Category 08,Subcategory 08.2,Feature 1009,1009,Hybrid
Category 08,Subcategory 08.3,Feature 1085,1085,Hybrid
Category 08,Subcategory 08.3,Feature 0266,266,Hybrid
Category 08,Subcategory 08.3,Feature 0017,17,Hybrid
Category 08,Subcategory 08.3,Feature 1006,1006,Hybrid
Category 08,Subcategory 08.3,Feature 0500,500,Hybrid
Category 08,Subcategory 08.4,Feature 1012,1012,Hybrid
Category 08,Subcategory 08.4,Feature 0046,46,Hybrid
Category 08,Subcategory 08.4,Feature 0493,493,Hybrid
Category 08,Subcategory 08.4,Feature 0153,153,Hybrid
Category 08,Subcategory 08.4,Feature 0034,34,Hybrid
Category 08,Subcategory 08.4,Feature 0457,457,Hybrid
Category 08,Subcategory 08.4,Feature 0110,110,Hybrid
Category 08,Subcategory 08.4,Feature 0019,19,Hybrid
Category 08,Subcategory 08.1,Feature 0276,276,Hybrid
Category 02,Subcategory 02.3,Feature 0320,320,Subjective
Category 02,Subcategory 02.3,Feature 0273,273,Subjective
Category 02,Subcategory 02.3,Feature 0282,282,Subjective
Category 02,Subcategory 02.2,Feature 1086,1086,Subjective
Category 02,Subcategory 02.2,Feature 0329,329,Subjective
Category 02,Subcategory 02.2,Feature 0265,265,Subjective
Category 02,Subcategory 02.2,Feature 0508,508,Subjective
Category 02,Subcategory 02.2,Feature 0238,238,Subjective
Category 02,Subcategory 02.1,Feature 0158,158,Subjective
Category 02,Subcategory 02.1,Feature 0479,479,Subjective
Category 02,Subcategory 02.4,Feature 0029,29,Subjective
Category 02,Subcategory 02.4,Feature 0011,11,Subjective
Category 02,Subcategory 02.4,Feature 0232,232,Subjective
Category 01,Subcategory 01.1,Feature 0134,134,Hybrid
Category 01,Subcategory 01.1,Feature 0303,303,Hybrid
Category 01,Subcategory 01.2,Feature 0352,352,Hybrid
Category 04,Subcategory 04.1,Feature 0257,257,Hybrid
Category 09,Subcategory 09.1,Feature 0227,227,Hybrid
Category 09,Subcategory 09.1,Feature 0074,74,Hybrid
